describe,evaluate,movie_name,movie_text,serial,star
希望让人自由。,1219583人评价,肖申克的救赎,1994/美国/犯罪剧情,1,9.6
风华绝代。,897149人评价,霸王别姬,1993/中国大陆香港/剧情爱情同性,2,9.6
怪蜀黍和小萝莉不得不说的故事。,1122090人评价,这个杀手不太冷,1994/法国/剧情动作犯罪,3,9.4
一部美国近现代史。,961621人评价,阿甘正传,1994/美国/剧情爱情,4,9.4
最美的谎言。,561969人评价,美丽人生,1997/意大利/剧情喜剧爱情战争,5,9.5
失去的才是永恒的。 ,897011人评价,泰坦尼克号,1997/美国/剧情爱情灾难,6,9.3
最好的宫崎骏，最好的久石让。 ,889438人评价,千与千寻,2001/日本/剧情动画奇幻,7,9.3
拯救一个人，就是拯救整个世界。,504683人评价,辛德勒的名单,1993/美国/剧情历史战争,8,9.5
诺兰给了我们一场无法盗取的梦。,977263人评价,盗梦空间,2010/美国英国/剧情科幻悬疑冒险,9,9.3
小瓦力，大人生。,648705人评价,机器人总动员,2008/美国/爱情科幻动画冒险,10,9.3
永远都不能忘记你所爱的人。,634024人评价,忠犬八公的故事,2009/美国英国/剧情,11,9.3
英俊版憨豆，高情商版谢耳朵。,875122人评价,三傻大闹宝莱坞,2009/印度/剧情喜剧爱情歌舞,12,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,730362人评价,海上钢琴师,1998/意大利/剧情音乐,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,602261人评价,放牛班的春天,2004/法国瑞士德国/剧情音乐,14,9.2
一生所爱。,667170人评价,大话西游之大圣娶亲,1995/香港中国大陆/喜剧爱情奇幻冒险,15,9.2
如果再也不能见到你，祝你早安，午安，晚安。,646594人评价,楚门的世界,1998/美国/剧情科幻,16,9.2
千万不要记恨你的对手，这样会让你失去理智。,443058人评价,教父,1972/美国/剧情犯罪,17,9.2
爱是一种力量，让我们超越时空感知它的存在。,661014人评价,星际穿越,2014/美国英国加拿大冰岛/剧情科幻冒险,18,9.2
人人心中都有个龙猫，童年就永远不会消失。,544323人评价,龙猫,1988/日本/动画奇幻冒险,19,9.1
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,375795人评价,熔炉,2011/韩国/剧情,20,9.3
香港电影史上永不过时的杰作。,546454人评价,无间道,2002/香港/剧情犯罪悬疑,21,9.1
平民励志片。 ,707341人评价,当幸福来敲门,2006/美国/剧情传记家庭,22,9.0
满满温情的高雅喜剧。,470420人评价,触不可及,2011/法国/剧情喜剧,23,9.2
真正的幸福是来自内心深处。,762470人评价,怦然心动,2010/美国/剧情喜剧爱情,24,9.0
Tomorrow is another day.,336030人评价,乱世佳人,1939/美国/剧情历史爱情战争,25,9.2
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,725947人评价,疯狂动物城,2016/美国/喜剧动画冒险,26,9.2
无尽的黑暗。,438136人评价,蝙蝠侠：黑暗骑士,2008/美国英国/剧情动作科幻犯罪惊悚,27,9.1
张艺谋最好的电影。,362648人评价,活着,1994/中国大陆香港/剧情历史家庭,28,9.1
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,368604人评价,天堂电影院,1988/意大利法国/剧情爱情,29,9.1
瑰丽壮观、无人能及的冒险之旅。,724841人评价,少年派的奇幻漂流,2012/美国台湾英国加拿大/剧情奇幻冒险,30,9.0
1957年的理想主义。 ,216033人评价,十二怒汉,1957/美国/剧情,31,9.4
对敌人的仁慈，就是对自己残忍。,300354人评价,鬼子来了,2000/中国大陆/剧情历史战争,32,9.2
史诗的终章。,359625人评价,指环王3：王者无敌,2003/美国新西兰/剧情动作奇幻冒险,33,9.1
比利·怀德满分作品。,146494人评价,控方证人,1957/美国/剧情犯罪悬疑,34,9.6
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,474431人评价,搏击俱乐部,1999/美国德国/剧情动作悬疑惊悚,35,9.0
对天空的追逐，永不停止。 ,418146人评价,天空之城,1986/日本/动画奇幻冒险,36,9.0
最后那些最无聊的事情，才是最值得怀念的。 ,639091人评价,飞屋环游记,2009/美国/剧情喜剧动画冒险,37,8.9
旷古烁今。,537325人评价,大话西游之月光宝盒,1995/香港中国大陆/喜剧爱情奇幻冒险,38,8.9
爱情哪怕只有一天。,483972人评价,罗马假日,1953/美国/喜剧剧情爱情,39,9.0
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,650551人评价,摔跤吧！爸爸,2016/印度/剧情传记运动家庭,40,9.1
别样人生。,286491人评价,窃听风暴,2006/德国/剧情悬疑,41,9.1
电影的现实意义大过电影本身。,284277人评价,辩护人,2013/韩国/剧情,42,9.2
带着心爱的人在天空飞翔。,453495人评价,哈尔的移动城堡,2004/日本/动画奇幻冒险,43,8.9
史上最美的探戈。,410808人评价,闻香识女人,1992/美国/剧情,44,9.0
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,325219人评价,两杆大烟枪,1998/英国/剧情喜剧犯罪,45,9.1
自由万岁。,329496人评价,飞越疯人院,1975/美国/剧情,46,9.0
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,352265人评价,死亡诗社,1989/美国/剧情,47,9.0
一张面具背后的理想与革命。,533029人评价,V字仇杀队,2005/美国英国德国/剧情动作科幻惊悚,48,8.8
海豚的微笑，是世界上最高明的伪装。,216736人评价,海豚湾,2009/美国/纪录片,49,9.3
优雅的孤独。,239689人评价,教父2,1974/美国/剧情犯罪,50,9.1
承前启后的史诗篇章。,337387人评价,指环王2：双塔奇兵,2002/美国新西兰/剧情动作奇幻冒险,51,9.0
传说的开始。,377684人评价,指环王1：魔戒再现,2001/新西兰美国/剧情动作奇幻冒险,52,8.9
爱是一切逻辑和原由。,375445人评价,美丽心灵,2001/美国/传记剧情,53,8.9
人生不能像做菜，把所有的料都准备好了才下锅。,259578人评价,饮食男女,1994/台湾美国/剧情家庭,54,9.1
暗恋的极致。,463857人评价,情书,1995/日本/剧情爱情,55,8.8
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,245427人评价,素媛,2013/韩国/剧情,56,9.1
动物版《哈姆雷特》。,355971人评价,狮子王,1994/美国/剧情动画冒险歌舞家庭,57,8.9
音乐能化解仇恨。,247784人评价,钢琴家,2002/法国德国英国波兰/剧情传记历史战争音乐,58,9.1
往事如烟，无处祭奠。,213363人评价,美国往事,1984/意大利美国/犯罪剧情,59,9.1
奔跑的孩子是天使。,179467人评价,小鞋子,1997/伊朗/剧情家庭儿童,60,9.2
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,248547人评价,末代皇帝,1987/英国意大利中国大陆法国美国/剧情传记历史,61,9.0
警察抓小偷，老鼠玩死猫。,517029人评价,七宗罪,1995/美国/剧情犯罪悬疑惊悚,62,8.8
以戏谑来戏谑戏谑。,372755人评价,被嫌弃的松子的一生,2006/日本/剧情歌舞,63,8.9
在时间之河里感受溺水之苦。,481905人评价,本杰明·巴顿奇事,2008/美国/剧情爱情奇幻,64,8.8
孪生蝙蝠侠大战克隆金刚狼。,422345人评价,致命魔术,2006/美国英国/剧情悬疑惊悚,65,8.8
美丽无罪。,448809人评价,西西里的美丽传说,2000/意大利美国/剧情战争情色,66,8.8
视觉革命。,355169人评价,黑客帝国,1999/美国澳大利亚/动作科幻,67,8.9
法式小清新。 ,575544人评价,天使爱美丽,2001/法国德国/喜剧爱情,68,8.7
你给我翻译翻译，神马叫做TMD的惊喜。,785852人评价,让子弹飞,2010/中国大陆香港/剧情喜剧动作西部,69,8.7
美利坚精神输出大片No1.,303420人评价,拯救大兵瑞恩,1998/美国/剧情历史战争,70,8.9
你以为你以为的就是你以为的。,477433人评价,看不见的客人,2016/西班牙/剧情犯罪悬疑惊悚,71,8.7
用音乐化解仇恨，让歌声串起美好。,283028人评价,音乐之声,1965/美国/剧情传记爱情歌舞,72,8.9
故事的高级讲法。,414515人评价,低俗小说,1994/美国/剧情喜剧犯罪,73,8.8
史诗大片的典范。,345025人评价,勇敢的心,1995/美国/动作传记剧情历史战争,74,8.8
经典之作，历久弥新。,138444人评价,大闹天宫,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,75,9.3
浪漫忧郁的成人童话。,585052人评价,剪刀手爱德华,1990/美国/剧情奇幻爱情,76,8.7
安东尼·霍普金斯的顶级表演。,423169人评价,沉默的羔羊,1991/美国/剧情犯罪惊悚,77,8.8
童话世界的开端。,356137人评价,哈利·波特与魔法石,2001/美国英国/奇幻冒险,78,8.8
人的命运被自己瞬间的抉择改变。,464727人评价,蝴蝶效应,2004/美国加拿大/剧情悬疑科幻惊悚,79,8.7
爱情纠缠，男女一致。,305934人评价,春光乍泄,1997/香港日本韩国/剧情爱情同性,80,8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,363338人评价,入殓师,2008/日本/剧情,81,8.8
人生中应该拥有这样的一段豁然开朗。,337566人评价,心灵捕手,1997/美国/剧情,82,8.8
骗子大师和执著警探的你追我跑故事。 ,305724人评价,猫鼠游戏,2002/美国加拿大/传记犯罪剧情,83,8.8
小清新的故事里注入了大历史的情怀。,405992人评价,布达佩斯大饭店,2014/美国德国英国/剧情喜剧冒险,84,8.8
昔日翩翩少年，今日大腹便便。,446046人评价,禁闭岛,2010/美国/剧情悬疑惊悚,85,8.7
你是我最好的朋友，你是我唯一的朋友 。,263509人评价,玛丽和马克思,2009/澳大利亚/剧情动画,86,8.9
一场华丽的意淫。,330517人评价,阳光灿烂的日子,1994/中国大陆香港/剧情,87,8.8
人与自然的战争史诗。,282713人评价,幽灵公主,1997/日本/动画奇幻冒险,88,8.8
深入内心的恐怖，出人意料的结局。,282600人评价,第六感,1999/美国/剧情悬疑惊悚,89,8.8
人言可畏。,166973人评价,狩猎,2012/丹麦瑞典/剧情,90,9.1
寂寞没有期限。,402975人评价,重庆森林,1994/香港/剧情爱情,91,8.7
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,196560人评价,穿条纹睡衣的男孩,2008/英国美国/剧情战争,92,8.9
最不可能的那个人永远是最可能的。,388756人评价,致命ID,2003/美国/剧情悬疑惊悚,93,8.7
每个人心中都有一座断背山。,386699人评价,断背山,2005/美国加拿大/剧情爱情同性家庭,94,8.7
约翰尼·德普的独角戏。,430006人评价,加勒比海盗,2003/美国/动作冒险奇幻,95,8.6
绝对意义上的美轮美奂。,644293人评价,阿凡达,2009/美国英国/动作战争科幻冒险,96,8.6
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,302083人评价,大鱼,2003/美国/剧情家庭奇幻冒险,97,8.7
大时代中的人生，小人物的悲喜。,116507人评价,摩登时代,1936/美国/喜剧剧情爱情,98,9.2
没有一人完全善，也没有一人完全恶。,408997人评价,告白,2010/日本/剧情惊悚,99,8.7
我们都曾经是一一。,184503人评价,一一,2000/台湾日本/剧情爱情家庭,100,9.0
百看不厌。 ,329170人评价,射雕英雄传之东成西就,1993/香港/喜剧古装,101,8.7
相逢只要一瞬间，等待却像是一辈子。,270810人评价,甜蜜蜜,1996/香港/剧情爱情,102,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,324429人评价,阳光姐妹淘,2011/韩国/剧情喜剧,103,8.8
年度最佳date movie。,438835人评价,消失的爱人,2014/美国/剧情犯罪悬疑惊悚,104,8.7
缘分是个连绵词，最美不过一瞬。,270437人评价,爱在黎明破晓前,1995/美国奥地利瑞士/剧情爱情,105,8.7
被上帝抛弃了的上帝之城。,179796人评价,上帝之城,2002/巴西法国/犯罪剧情,106,8.9
我是一个演员。,399308人评价,喜剧之王,1999/香港/喜剧剧情爱情,107,8.6
那些静得只能听见呼吸的日子里，你明白孤独即生活。,177261人评价,小森林 夏秋篇,2014/日本/剧情,108,8.9
少女情怀总是诗。,209777人评价,侧耳倾听,1995/日本/剧情爱情动画,109,8.8
两张绝世的脸。 ,324198人评价,倩女幽魂,1987/香港/剧情爱情武侠古装,110,8.6
恐怖分子的“秋菊打官司”。,284988人评价,恐怖直播,2013/韩国/剧情犯罪悬疑,111,8.7
动画片的圣经。,209411人评价,风之谷,1984/日本/动画奇幻冒险,112,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,238835人评价,爱在日落黄昏时,2004/美国/剧情爱情,113,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,215437人评价,超脱,2011/美国/剧情,114,8.8
梦的勾结。,168943人评价,红辣椒,2006/日本/动画悬疑科幻惊悚,115,8.9
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,230630人评价,菊次郎的夏天,1999/日本/剧情喜剧,116,8.8
和谐的生活离不开摸头与被摸头。,348965人评价,驯龙高手,2010/美国/喜剧动画奇幻冒险,117,8.7
有时候幸福需要等一等。 ,266996人评价,幸福终点站,2004/美国/喜剧剧情爱情,118,8.7
Mr. I Don't Care其实也有Care的时候。,470266人评价,神偷奶爸,2010/美国法国/喜剧动画冒险,119,8.5
曾经的那段美好会沉淀为一辈子的记忆。,258580人评价,借东西的小人阿莉埃蒂,2010/日本/动画奇幻冒险,120,8.7
关于连环杀人悬案的集体回忆。,250658人评价,杀人回忆,2003/韩国/犯罪剧情悬疑惊悚,121,8.7
时代悲歌。,94047人评价,七武士,1954/日本/动作冒险剧情,122,9.2
岁月流逝，来日可追。,352037人评价,岁月神偷,2010/香港中国大陆/剧情家庭,123,8.6
沉醉在电影的情感和视听氛围中无法自拔。,239856人评价,请以你的名字呼唤我,2017/意大利法国巴西美国/剧情爱情同性,124,8.8
10年的完美句点。,336623人评价,哈利·波特与死亡圣器(下),2011/美国英国/剧情悬疑奇幻冒险,125,8.7
幸福是生生不息，却难以触及的远。 ,237935人评价,萤火虫之墓,1988/日本/动画剧情战争,126,8.7
不要给它起名字，起了名字就有感情了。,299760人评价,怪兽电力公司,2001/美国/儿童喜剧动画奇幻冒险,127,8.6
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,153476人评价,小森林 冬春篇,2015/日本/剧情,128,9.0
请记住，永远别忘了你的家人有多爱你。,604721人评价,寻梦环游记,2017/美国/喜剧动画奇幻音乐,129,9.0
像吃了苏打饼一样干脆的电影。,216293人评价,谍影重重3,2007/美国德国/动作悬疑惊悚,130,8.7
中国家庭的喜怒哀乐忍。,167391人评价,喜宴,1993/台湾美国/剧情喜剧爱情同性家庭,131,8.8
电影诗。,305156人评价,东邪西毒,1994/香港台湾/剧情动作爱情武侠古装,132,8.6
真相就在眼前。,234647人评价,电锯惊魂,2004/美国/悬疑惊悚恐怖,133,8.7
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,446376人评价,贫民窟的百万富翁,2008/英国美国/剧情爱情,134,8.5
老少皆宜，这就是好莱坞动画的魅力。,438730人评价,疯狂原始人,2013/美国/喜剧动画冒险,135,8.7
《我是山姆》的《美丽人生》。,220045人评价,7号房的礼物,2013/韩国/剧情喜剧家庭,136,8.7
一个针管引发的血案。,327367人评价,记忆碎片,2000/美国/犯罪剧情悬疑惊悚,137,8.6
触不到的恋人。,202978人评价,萤火之森,2011/日本/剧情爱情动画奇幻,138,8.8
黑暗之美。,484208人评价,黑天鹅,2010/美国/剧情惊悚,139,8.5
爱，是个动词。,361650人评价,真爱至上,2003/英国美国法国/喜剧剧情爱情,140,8.5
英雄泪短，兄弟情长。 ,217934人评价,英雄本色,1986/香港/动作犯罪,141,8.6
Balalala~~~,458280人评价,超能陆战队,2014/美国/喜剧动作科幻动画冒险,142,8.6
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,236789人评价,雨人,1988/美国/剧情,143,8.7
华太师是黄霑，吴镇宇四大才子之一。,425896人评价,唐伯虎点秋香,1993/香港/喜剧爱情古装,144,8.5
诺兰就是保证。,349041人评价,蝙蝠侠：黑暗骑士崛起,2012/美国英国/剧情动作科幻犯罪惊悚,145,8.6
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,226305人评价,心迷宫,2014/中国大陆/剧情犯罪悬疑,146,8.7
当这个世界闭上双眼，他却敞开了怀抱。,142354人评价,卢旺达饭店,2004/英国南非意大利美国/剧情历史战争,147,8.9
爱是摈弃傲慢与偏见之后的曙光。,362785人评价,傲慢与偏见,2005/法国英国美国/剧情爱情,148,8.5
始于荒诞，止于更荒诞。,181449人评价,荒蛮故事,2014/阿根廷西班牙/剧情喜剧犯罪,149,8.8
大海啊，不全是水。,107716人评价,海洋,2009/法国瑞士西班牙美国阿联酋/纪录片,150,9.0
香港浪漫主义警匪动作片的巅峰之作。,184307人评价,纵横四海,1991/香港/剧情喜剧动作犯罪,151,8.7
我们都有权利不与自己的过去和解。,248024人评价,海边的曼彻斯特,2016/美国/剧情家庭,152,8.6
我的平常生活就是他人的幸福。,94611人评价,无人知晓,2004/日本/剧情,153,9.1
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,249174人评价,时空恋旅人,2013/英国/剧情爱情奇幻,154,8.7
任何信念的力量，都无法改变命运。,158573人评价,教父3,1990/美国/剧情犯罪,155,8.8
永远看不腻的喜剧。,123047人评价,虎口脱险,1966/法国英国/喜剧战争,156,8.9
坏人的好总是比好人的好来得更感人。,99433人评价,完美的世界,1993/美国/剧情犯罪,157,9.0
